  AA MM DD HH      Hm0   Tm02   Tp   DirM      Hm0_V  DirM_V Hm0_F1 Tm02_F1 DirM_F1 Hm0_F2 Tm02_F2 DirM_F2   VelV   DirV
2016 01 08 01      1.6   6.3   11.6 279.0    -99.9  -99.9      1.2    6.0 273.0       1.0   12.6  289.0       5.9  224.0
2016 01 08 02      1.6   6.3   11.7 279.0      0.3  216.0      1.2    6.4 274.0       1.0   12.7  289.0       5.8  222.0
2016 01 08 03      1.6   6.2   11.9 279.0      0.3  215.0      1.2    6.4 274.0       1.0   12.7  289.0       6.5  215.0
2016 01 08 04      1.6   6.1   12.2 278.0    -99.9  -99.9      1.3    5.7 271.0       1.0   12.8  289.0       6.8  220.0
2016 01 08 05      1.7   6.1   12.5 278.0    -99.9  -99.9      1.3    5.7 270.0       1.0   12.8  289.0       6.1  226.0
2016 01 08 06      1.7   6.1   12.6 278.0    -99.9  -99.9      1.3    5.7 270.0       1.0   12.8  288.0       4.5  222.0
2016 01 08 07      1.7   6.2   12.8 278.0    -99.9  -99.9      1.3    5.8 271.0       1.0   12.8  288.0       6.2  217.0
2016 01 08 08      1.7   6.1   12.9 278.0    -99.9  -99.9      1.3    5.7 270.0       1.0   12.8  288.0       7.0  213.0
2016 01 08 09      1.7   5.9   12.9 277.0      0.4  211.0      1.3    6.2 274.0       1.0   12.8  288.0       7.6  209.0
2016 01 08 10      1.7   5.7   12.9 275.0      0.2  180.0      1.3    5.6 269.0       1.0   12.8  288.0       8.2  206.0
2016 01 08 11      1.8   5.5   12.9 273.0      0.6  216.0      1.3    6.4 275.0       1.0   12.8  287.0       8.6  209.0
2016 01 08 12      1.8   5.4   12.9 272.0      0.6  206.0      1.7    7.2 278.0     -99.9  -99.9  -99.9       4.9  194.0
2016 01 08 13      1.9   5.6   12.9 273.0      0.5  195.0      1.8    7.0 277.0     -99.9  -99.9  -99.9       7.1  201.0
2016 01 08 14      1.9   5.6   12.9 272.0      0.5  194.0      1.8    7.0 277.0     -99.9  -99.9  -99.9       8.5  216.0
2016 01 08 15      1.9   5.4   12.9 271.0      0.7  206.0      1.8    7.2 278.0     -99.9  -99.9  -99.9       8.5  222.0
2016 01 08 16      2.0   5.4   12.8 270.0    -99.9  -99.9      2.0    6.0 270.0     -99.9  -99.9  -99.9       9.0  226.0
2016 01 08 17      2.1   5.3   12.7 268.0      0.8  209.0      1.9    6.9 277.0     -99.9  -99.9  -99.9       9.3  230.0
2016 01 08 18      2.2   5.3   12.5 267.0      0.8  208.0      2.0    6.9 276.0     -99.9  -99.9  -99.9       7.2  215.0
